sample_id,label_id,label_name,split,seed,dataset
0,0,A,train,3407,asl_large_dataset
1,0,A,train,3407,asl_large_dataset
2,0,A,train,3407,asl_large_dataset
3,0,A,train,3407,asl_large_dataset
4,0,A,train,3407,asl_large_dataset
5,0,A,train,3407,asl_large_dataset
6,0,A,train,3407,asl_large_dataset
7,0,A,train,3407,asl_large_dataset
8,0,A,train,3407,asl_large_dataset
9,0,A,train,3407,asl_large_dataset
10,0,A,train,3407,asl_large_dataset
11,0,A,train,3407,asl_large_dataset
13,0,A,train,3407,asl_large_dataset
15,0,A,train,3407,asl_large_dataset
16,0,A,train,3407,asl_large_dataset
18,0,A,train,3407,asl_large_dataset
19,0,A,train,3407,asl_large_dataset
20,0,A,train,3407,asl_large_dataset
21,0,A,train,3407,asl_large_dataset
22,0,A,train,3407,asl_large_dataset
23,0,A,train,3407,asl_large_dataset
25,0,A,train,3407,asl_large_dataset
26,0,A,train,3407,asl_large_dataset
27,0,A,train,3407,asl_large_dataset
30,0,A,train,3407,asl_large_dataset
31,0,A,train,3407,asl_large_dataset
32,0,A,train,3407,asl_large_dataset
33,0,A,train,3407,asl_large_dataset
36,0,A,train,3407,asl_large_dataset
38,0,A,train,3407,asl_large_dataset
39,0,A,train,3407,asl_large_dataset
40,0,A,train,3407,asl_large_dataset
41,0,A,train,3407,asl_large_dataset
42,0,A,train,3407,asl_large_dataset
44,0,A,train,3407,asl_large_dataset
45,0,A,train,3407,asl_large_dataset
46,0,A,train,3407,asl_large_dataset
47,0,A,train,3407,asl_large_dataset
49,0,A,train,3407,asl_large_dataset
51,0,A,train,3407,asl_large_dataset
52,0,A,train,3407,asl_large_dataset
53,0,A,train,3407,asl_large_dataset
54,0,A,train,3407,asl_large_dataset
56,0,A,train,3407,asl_large_dataset
57,0,A,train,3407,asl_large_dataset
58,0,A,train,3407,asl_large_dataset
60,0,A,train,3407,asl_large_dataset
61,0,A,train,3407,asl_large_dataset
63,0,A,train,3407,asl_large_dataset
64,0,A,train,3407,asl_large_dataset
