variant,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,latency_ms_mean,latency_ms_std,fps_mean,fps_std,params_mean,macs_mean,macs_std,flops_approx_mean,flops_approx_std,thop_params_mean,thop_params_std,model_file_size_mb_mean,model_file_size_mb_std,pth_model_size_mb_mean,pth_model_size_mb_std,onnx_model_size_mb_mean,onnx_model_size_mb_std,tensorrt_engine_size_mb_mean,tensorrt_engine_size_mb_std,onnx_max_abs_diff_mean,onnx_max_abs_diff_std,onnx_argmax_match_mean,onnx_argmax_match_std,dataset
baseline_gcn,0.8699669966996699,0.0266694440275074,0.8584694185563588,0.0241503169134743,0.8680753657338263,0.0269304594699378,0.8639024135295144,0.0260984131933183,0.8632823129251701,0.0239051274825306,0.4206109999795444,0.0145430301053563,2379.695015963217,79.60663691573698,355932.0,441280.0,0.0,882560.0,0.0,355932.0,0.0,1.363079833984375,1.1088899119388508e-05,1.363079833984375,1.1088899119388508e-05,1.361919403076172,0.0,,,1.5020370483398435e-06,6.285393870574983e-07,1.0,0.0,asl_dataset
baseline_mlp,0.8712871287128714,0.0159989434238163,0.8587085262059506,0.0178987836779285,0.8696126049552442,0.0171715563831509,0.8690724660923136,0.0168064978059484,0.8621040863898008,0.0157144108106411,0.2020639999536797,0.0035363500563496,4950.145002306939,86.99345097949573,171292.0,170496.0,0.0,340992.0,0.0,171292.0,0.0,0.6561431884765625,8.529922399512313e-06,0.6561431884765625,8.529922399512313e-06,0.6550455093383789,0.0,,,1.9073486328125e-06,8.760057959973257e-07,1.0,0.0,asl_dataset
baseline_pointnet,0.7128712871287128,0.0273150913485921,0.6975806930231825,0.0331259086921765,0.7059495298740772,0.0351058570073731,0.7209886880466823,0.0291152853743526,0.7099561153132582,0.0224232008100702,0.6334305999916978,0.0241251004821139,1580.4725517881302,58.0287378313726,41180.0,393152.0,0.0,786304.0,0.0,41180.0,0.0,0.16763916015625,2.4736774958610536e-05,0.16763916015625,2.4736774958610536e-05,0.1573514938354492,0.0,,,0.0028446376323699,0.0007402936090729,1.0,0.0,asl_dataset
baseline_svm,0.9498349834983498,0.010540408859849,0.9431552735016864,0.0109097504927492,0.9493264722070572,0.0110600421887996,0.9473291985791986,0.0106038228546206,0.94589208410637,0.0097185959862792,0.2059673999319784,0.0211435907587861,4892.836972491279,460.1879532955462,65448.0,,,,,,,0.6608713150024415,0.0108556305995761,,,,,,,,,,,asl_dataset
baseline_transformer_lite,0.9326732673267326,0.0170853849578149,0.921833452021341,0.0199906846585001,0.9319053051633268,0.0177683993076528,0.9308087646480504,0.0133292803177533,0.9250887604459036,0.0180727316114416,0.923428599955514,0.0162998301966578,1083.186436663026,18.815734358287845,420060.0,1064896.0,0.0,2129792.0,0.0,385436.0,0.0,1.6141624450683594,2.985472839830473e-05,1.6141624450683594,2.985472839830473e-05,1.6582908630371094,0.0,,,8.821487426757813e-07,1.994752947173299e-07,1.0,0.0,asl_dataset
full_model,0.8950495049504952,0.0272552116462872,0.8854314158864096,0.0304709635101608,0.8931842636721999,0.0269336058058677,0.8950054434115691,0.0282565160338488,0.8899812885527172,0.0295323035216356,0.5153510001255199,0.0106233917481437,1941.0757450286717,39.46239612990494,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4159433364868164,1.450086807917171e-05,1.4159433364868164,1.450086807917171e-05,1.4241437911987305,0.0,,,2.574920654296875e-06,7.231593555499601e-07,1.0,0.0,asl_dataset
baseline_gcn,0.9601410934744268,0.0062548788140013,0.9561169743273524,0.0067963104511003,0.9601955219583272,0.0062094890836393,0.956345294666882,0.0078228162978829,0.9579827025747985,0.0064441353097316,0.4856341998674907,0.1570353931821615,2187.117483347819,495.0426636876255,357217.0,442560.0,0.0,885120.0,0.0,357217.0,0.0,1.368023681640625,1.1088899119388508e-05,1.368023681640625,1.1088899119388508e-05,1.3668222427368164,0.0,,,4.863739013671875e-06,1.6655205914090138e-06,1.0,0.0,indian_sign_language
baseline_mlp,0.9581422692533804,0.0054740055717741,0.9542922704670314,0.0079381195965928,0.9580028612682088,0.0056084077379467,0.9543342694402333,0.0062792219972715,0.9563717257113076,0.0086804967026138,0.2080646000104025,0.0145298328669697,4825.619061613947,348.1650045208097,172577.0,171776.0,0.0,343552.0,0.0,172577.0,0.0,0.6610870361328125,8.529922399512313e-06,0.6610870361328125,8.529922399512313e-06,0.6599483489990234,0.0,,,6.866455078125e-06,3.955162306466621e-06,1.0,0.0,indian_sign_language
baseline_pointnet,0.9512051734273956,0.0040941764483198,0.9410909661128792,0.0044724987701153,0.9515301485361852,0.0042301658194185,0.9408450662328042,0.0046176556148046,0.9452698028567476,0.0052166472709937,0.6893863999284804,0.0556897416565335,1458.2745466016684,119.42402922799572,42465.0,394432.0,0.0,788864.0,0.0,42465.0,0.0,0.17252197265625,2.4736774958610536e-05,0.17252197265625,2.4736774958610536e-05,0.1622543334960937,0.0,,,0.0094873428344726,0.0022132095199046,1.0,0.0,indian_sign_language
baseline_svm,0.9796590241034686,0.0028980029497627,0.9759653462778004,0.0039712815060492,0.9796442012098924,0.0029131275387761,0.9773674094715782,0.0025445077080002,0.975596555124948,0.0047440104883891,0.3475608000298962,0.0123548302402514,2880.0285482217555,99.68824629826176,216387.0,,,,,,,2.226579475402832,0.0269319559149794,,,,,,,,,,,indian_sign_language
