metric,mean,std,dataset
accuracy_without_anatomical,0.8917491749174917,0.023730268002967,asl_dataset
accuracy_with_anatomical,0.8950495049504952,0.0272552116462872,asl_dataset
delta_accuracy_with_minus_without,0.0033003300330032,0.0136076093254708,asl_dataset
macro_f1_without_anatomical,0.8824062210209652,0.0261310256287052,asl_dataset
macro_f1_with_anatomical,0.8854314158864097,0.0304709635101609,asl_dataset
delta_macro_f1_with_minus_without,0.0030251948654444,0.0161452886405395,asl_dataset
accuracy_without_anatomical,0.9701352145796592,0.0054264459772906,indian_sign_language
accuracy_with_anatomical,0.9660199882422106,0.0074756798866605,indian_sign_language
delta_accuracy_with_minus_without,-0.0041152263374485,0.0087692145150947,indian_sign_language
macro_f1_without_anatomical,0.9660065260121288,0.0056718468749362,indian_sign_language
macro_f1_with_anatomical,0.9614619871735364,0.0086116254526894,indian_sign_language
delta_macro_f1_with_minus_without,-0.0045445388385922,0.0103958253060321,indian_sign_language
accuracy_without_anatomical,0.9391304347826088,0.0097220346847816,nus_hand_posture
accuracy_with_anatomical,0.917391304347826,0.0388881387391268,nus_hand_posture
delta_accuracy_with_minus_without,-0.0217391304347826,0.0343725832626998,nus_hand_posture
macro_f1_without_anatomical,0.938987012987013,0.0109992241913662,nus_hand_posture
macro_f1_with_anatomical,0.9148600288600288,0.0413659577991146,nus_hand_posture
delta_macro_f1_with_minus_without,-0.0241269841269842,0.036671737194077,nus_hand_posture
accuracy_without_anatomical,0.9923046721633296,0.0005058538958275,asl_large_dataset
accuracy_with_anatomical,0.9917393011385944,0.0009396639372847,asl_large_dataset
delta_accuracy_with_minus_without,-0.000565371024735,0.0009330789652148,asl_large_dataset
macro_f1_without_anatomical,0.990830875820452,0.0004535221035589,asl_large_dataset
macro_f1_with_anatomical,0.9902987914640228,0.0010394720201729,asl_large_dataset
delta_macro_f1_with_minus_without,-0.0005320843564293,0.0010449727876923,asl_large_dataset
