dataset,variant,seed,class_id,class_label,train_raw_count,train_processed_count,val_count,test_count
asl_dataset,ablation_plain_mlp,1234,0,0,20,20,3,6
asl_dataset,ablation_plain_mlp,1234,1,1,41,41,6,12
asl_dataset,ablation_plain_mlp,1234,2,2,34,34,5,9
asl_dataset,ablation_plain_mlp,1234,3,3,47,47,7,13
asl_dataset,ablation_plain_mlp,1234,4,4,48,48,6,14
asl_dataset,ablation_plain_mlp,1234,5,5,48,48,7,14
asl_dataset,ablation_plain_mlp,1234,6,6,35,35,5,10
asl_dataset,ablation_plain_mlp,1234,7,7,45,45,6,13
asl_dataset,ablation_plain_mlp,1234,8,8,42,42,6,12
asl_dataset,ablation_plain_mlp,1234,9,9,48,48,7,14
asl_dataset,ablation_plain_mlp,1234,10,B,45,45,6,13
asl_dataset,ablation_plain_mlp,1234,11,C,23,23,3,7
asl_dataset,ablation_plain_mlp,1234,12,D,45,45,7,13
asl_dataset,ablation_plain_mlp,1234,13,E,15,15,2,5
asl_dataset,ablation_plain_mlp,1234,14,F,47,47,7,13
asl_dataset,ablation_plain_mlp,1234,15,G,36,36,5,11
asl_dataset,ablation_plain_mlp,1234,16,H,32,32,5,9
asl_dataset,ablation_plain_mlp,1234,17,I,37,37,5,11
asl_dataset,ablation_plain_mlp,1234,18,K,46,46,7,13
asl_dataset,ablation_plain_mlp,1234,19,L,47,47,7,13
asl_dataset,ablation_plain_mlp,1234,20,P,34,34,5,9
asl_dataset,ablation_plain_mlp,1234,21,R,36,36,5,10
asl_dataset,ablation_plain_mlp,1234,22,U,44,44,6,13
asl_dataset,ablation_plain_mlp,1234,23,V,36,36,5,10
asl_dataset,ablation_plain_mlp,1234,24,W,34,34,5,9
asl_dataset,ablation_plain_mlp,1234,25,X,32,32,5,9
asl_dataset,ablation_plain_mlp,1234,26,Y,25,25,3,7
asl_dataset,ablation_plain_mlp,1234,27,Z,37,37,5,11
asl_dataset,ablation_plain_mlp,2024,0,0,20,20,3,6
asl_dataset,ablation_plain_mlp,2024,1,1,41,41,6,12
asl_dataset,ablation_plain_mlp,2024,2,2,34,34,5,9
asl_dataset,ablation_plain_mlp,2024,3,3,47,47,7,13
asl_dataset,ablation_plain_mlp,2024,4,4,48,48,6,14
asl_dataset,ablation_plain_mlp,2024,5,5,48,48,7,14
asl_dataset,ablation_plain_mlp,2024,6,6,35,35,5,10
asl_dataset,ablation_plain_mlp,2024,7,7,45,45,6,13
asl_dataset,ablation_plain_mlp,2024,8,8,42,42,6,12
asl_dataset,ablation_plain_mlp,2024,9,9,48,48,7,14
asl_dataset,ablation_plain_mlp,2024,10,B,45,45,6,13
asl_dataset,ablation_plain_mlp,2024,11,C,23,23,3,7
asl_dataset,ablation_plain_mlp,2024,12,D,45,45,7,13
asl_dataset,ablation_plain_mlp,2024,13,E,15,15,2,5
asl_dataset,ablation_plain_mlp,2024,14,F,47,47,7,13
asl_dataset,ablation_plain_mlp,2024,15,G,36,36,5,11
asl_dataset,ablation_plain_mlp,2024,16,H,32,32,5,9
asl_dataset,ablation_plain_mlp,2024,17,I,37,37,5,11
asl_dataset,ablation_plain_mlp,2024,18,K,46,46,7,13
asl_dataset,ablation_plain_mlp,2024,19,L,47,47,7,13
asl_dataset,ablation_plain_mlp,2024,20,P,34,34,5,9
asl_dataset,ablation_plain_mlp,2024,21,R,36,36,5,10
asl_dataset,ablation_plain_mlp,2024,22,U,44,44,6,13
asl_dataset,ablation_plain_mlp,2024,23,V,36,36,5,10
asl_dataset,ablation_plain_mlp,2024,24,W,34,34,5,9
asl_dataset,ablation_plain_mlp,2024,25,X,32,32,5,9
asl_dataset,ablation_plain_mlp,2024,26,Y,25,25,3,7
asl_dataset,ablation_plain_mlp,2024,27,Z,37,37,5,11
asl_dataset,ablation_plain_mlp,2025,0,0,20,20,3,6
asl_dataset,ablation_plain_mlp,2025,1,1,41,41,6,12
asl_dataset,ablation_plain_mlp,2025,2,2,34,34,5,9
asl_dataset,ablation_plain_mlp,2025,3,3,47,47,6,14
asl_dataset,ablation_plain_mlp,2025,4,4,48,48,7,13
asl_dataset,ablation_plain_mlp,2025,5,5,48,48,7,14
asl_dataset,ablation_plain_mlp,2025,6,6,35,35,5,10
asl_dataset,ablation_plain_mlp,2025,7,7,45,45,6,13
asl_dataset,ablation_plain_mlp,2025,8,8,42,42,6,12
asl_dataset,ablation_plain_mlp,2025,9,9,48,48,7,14
asl_dataset,ablation_plain_mlp,2025,10,B,45,45,6,13
asl_dataset,ablation_plain_mlp,2025,11,C,23,23,3,7
asl_dataset,ablation_plain_mlp,2025,12,D,45,45,7,13
asl_dataset,ablation_plain_mlp,2025,13,E,15,15,2,5
asl_dataset,ablation_plain_mlp,2025,14,F,47,47,7,13
asl_dataset,ablation_plain_mlp,2025,15,G,36,36,5,11
asl_dataset,ablation_plain_mlp,2025,16,H,32,32,5,9
asl_dataset,ablation_plain_mlp,2025,17,I,37,37,5,11
asl_dataset,ablation_plain_mlp,2025,18,K,46,46,7,13
asl_dataset,ablation_plain_mlp,2025,19,L,47,47,7,13
asl_dataset,ablation_plain_mlp,2025,20,P,34,34,5,9
asl_dataset,ablation_plain_mlp,2025,21,R,36,36,5,10
asl_dataset,ablation_plain_mlp,2025,22,U,44,44,6,13
asl_dataset,ablation_plain_mlp,2025,23,V,36,36,5,10
asl_dataset,ablation_plain_mlp,2025,24,W,34,34,5,9
asl_dataset,ablation_plain_mlp,2025,25,X,32,32,5,9
asl_dataset,ablation_plain_mlp,2025,26,Y,25,25,3,7
asl_dataset,ablation_plain_mlp,2025,27,Z,37,37,5,11
asl_dataset,ablation_plain_mlp,3407,0,0,20,20,3,6
asl_dataset,ablation_plain_mlp,3407,1,1,41,41,6,12
asl_dataset,ablation_plain_mlp,3407,2,2,34,34,5,9
asl_dataset,ablation_plain_mlp,3407,3,3,47,47,7,13
asl_dataset,ablation_plain_mlp,3407,4,4,48,48,7,13
asl_dataset,ablation_plain_mlp,3407,5,5,48,48,7,14
asl_dataset,ablation_plain_mlp,3407,6,6,35,35,5,10
asl_dataset,ablation_plain_mlp,3407,7,7,45,45,6,13
asl_dataset,ablation_plain_mlp,3407,8,8,42,42,6,12
asl_dataset,ablation_plain_mlp,3407,9,9,48,48,7,14
asl_dataset,ablation_plain_mlp,3407,10,B,45,45,6,13
asl_dataset,ablation_plain_mlp,3407,11,C,23,23,3,7
asl_dataset,ablation_plain_mlp,3407,12,D,45,45,7,13
asl_dataset,ablation_plain_mlp,3407,13,E,15,15,2,5
asl_dataset,ablation_plain_mlp,3407,14,F,47,47,7,13
asl_dataset,ablation_plain_mlp,3407,15,G,36,36,5,11
asl_dataset,ablation_plain_mlp,3407,16,H,32,32,5,9
asl_dataset,ablation_plain_mlp,3407,17,I,37,37,5,11
asl_dataset,ablation_plain_mlp,3407,18,K,46,46,6,14
asl_dataset,ablation_plain_mlp,3407,19,L,47,47,7,13
asl_dataset,ablation_plain_mlp,3407,20,P,34,34,5,9
asl_dataset,ablation_plain_mlp,3407,21,R,36,36,5,10
asl_dataset,ablation_plain_mlp,3407,22,U,44,44,6,13
asl_dataset,ablation_plain_mlp,3407,23,V,36,36,5,10
asl_dataset,ablation_plain_mlp,3407,24,W,34,34,5,9
asl_dataset,ablation_plain_mlp,3407,25,X,32,32,5,9
asl_dataset,ablation_plain_mlp,3407,26,Y,25,25,3,7
asl_dataset,ablation_plain_mlp,3407,27,Z,37,37,5,11
asl_dataset,ablation_plain_mlp,42,0,0,20,20,3,6
asl_dataset,ablation_plain_mlp,42,1,1,41,41,6,12
asl_dataset,ablation_plain_mlp,42,2,2,34,34,5,9
asl_dataset,ablation_plain_mlp,42,3,3,47,47,7,13
asl_dataset,ablation_plain_mlp,42,4,4,48,48,6,14
asl_dataset,ablation_plain_mlp,42,5,5,48,48,7,14
asl_dataset,ablation_plain_mlp,42,6,6,35,35,5,10
asl_dataset,ablation_plain_mlp,42,7,7,45,45,6,13
asl_dataset,ablation_plain_mlp,42,8,8,42,42,6,12
asl_dataset,ablation_plain_mlp,42,9,9,48,48,7,14
asl_dataset,ablation_plain_mlp,42,10,B,45,45,6,13
asl_dataset,ablation_plain_mlp,42,11,C,23,23,3,7
asl_dataset,ablation_plain_mlp,42,12,D,45,45,7,13
asl_dataset,ablation_plain_mlp,42,13,E,15,15,2,5
asl_dataset,ablation_plain_mlp,42,14,F,47,47,7,13
asl_dataset,ablation_plain_mlp,42,15,G,36,36,5,11
asl_dataset,ablation_plain_mlp,42,16,H,32,32,5,9
asl_dataset,ablation_plain_mlp,42,17,I,37,37,5,11
asl_dataset,ablation_plain_mlp,42,18,K,46,46,7,13
asl_dataset,ablation_plain_mlp,42,19,L,47,47,7,13
asl_dataset,ablation_plain_mlp,42,20,P,34,34,5,9
asl_dataset,ablation_plain_mlp,42,21,R,36,36,5,10
asl_dataset,ablation_plain_mlp,42,22,U,44,44,6,13
asl_dataset,ablation_plain_mlp,42,23,V,36,36,5,10
asl_dataset,ablation_plain_mlp,42,24,W,34,34,5,9
asl_dataset,ablation_plain_mlp,42,25,X,32,32,5,9
asl_dataset,ablation_plain_mlp,42,26,Y,25,25,3,7
asl_dataset,ablation_plain_mlp,42,27,Z,37,37,5,11
asl_dataset,baseline_gcn,1234,0,0,20,48,3,6
asl_dataset,baseline_gcn,1234,1,1,41,48,6,12
asl_dataset,baseline_gcn,1234,2,2,34,48,5,9
asl_dataset,baseline_gcn,1234,3,3,47,48,7,13
asl_dataset,baseline_gcn,1234,4,4,48,48,6,14
asl_dataset,baseline_gcn,1234,5,5,48,48,7,14
asl_dataset,baseline_gcn,1234,6,6,35,48,5,10
asl_dataset,baseline_gcn,1234,7,7,45,48,6,13
asl_dataset,baseline_gcn,1234,8,8,42,48,6,12
asl_dataset,baseline_gcn,1234,9,9,48,48,7,14
asl_dataset,baseline_gcn,1234,10,B,45,48,6,13
asl_dataset,baseline_gcn,1234,11,C,23,48,3,7
asl_dataset,baseline_gcn,1234,12,D,45,48,7,13
asl_dataset,baseline_gcn,1234,13,E,15,48,2,5
asl_dataset,baseline_gcn,1234,14,F,47,48,7,13
asl_dataset,baseline_gcn,1234,15,G,36,48,5,11
asl_dataset,baseline_gcn,1234,16,H,32,48,5,9
asl_dataset,baseline_gcn,1234,17,I,37,48,5,11
asl_dataset,baseline_gcn,1234,18,K,46,48,7,13
asl_dataset,baseline_gcn,1234,19,L,47,48,7,13
asl_dataset,baseline_gcn,1234,20,P,34,48,5,9
asl_dataset,baseline_gcn,1234,21,R,36,48,5,10
asl_dataset,baseline_gcn,1234,22,U,44,48,6,13
asl_dataset,baseline_gcn,1234,23,V,36,48,5,10
asl_dataset,baseline_gcn,1234,24,W,34,48,5,9
asl_dataset,baseline_gcn,1234,25,X,32,48,5,9
asl_dataset,baseline_gcn,1234,26,Y,25,48,3,7
asl_dataset,baseline_gcn,1234,27,Z,37,48,5,11
asl_dataset,baseline_gcn,2024,0,0,20,48,3,6
asl_dataset,baseline_gcn,2024,1,1,41,48,6,12
asl_dataset,baseline_gcn,2024,2,2,34,48,5,9
asl_dataset,baseline_gcn,2024,3,3,47,48,7,13
asl_dataset,baseline_gcn,2024,4,4,48,48,6,14
asl_dataset,baseline_gcn,2024,5,5,48,48,7,14
asl_dataset,baseline_gcn,2024,6,6,35,48,5,10
asl_dataset,baseline_gcn,2024,7,7,45,48,6,13
asl_dataset,baseline_gcn,2024,8,8,42,48,6,12
asl_dataset,baseline_gcn,2024,9,9,48,48,7,14
asl_dataset,baseline_gcn,2024,10,B,45,48,6,13
asl_dataset,baseline_gcn,2024,11,C,23,48,3,7
asl_dataset,baseline_gcn,2024,12,D,45,48,7,13
asl_dataset,baseline_gcn,2024,13,E,15,48,2,5
asl_dataset,baseline_gcn,2024,14,F,47,48,7,13
asl_dataset,baseline_gcn,2024,15,G,36,48,5,11
asl_dataset,baseline_gcn,2024,16,H,32,48,5,9
asl_dataset,baseline_gcn,2024,17,I,37,48,5,11
asl_dataset,baseline_gcn,2024,18,K,46,48,7,13
asl_dataset,baseline_gcn,2024,19,L,47,48,7,13
asl_dataset,baseline_gcn,2024,20,P,34,48,5,9
asl_dataset,baseline_gcn,2024,21,R,36,48,5,10
asl_dataset,baseline_gcn,2024,22,U,44,48,6,13
asl_dataset,baseline_gcn,2024,23,V,36,48,5,10
asl_dataset,baseline_gcn,2024,24,W,34,48,5,9
asl_dataset,baseline_gcn,2024,25,X,32,48,5,9
asl_dataset,baseline_gcn,2024,26,Y,25,48,3,7
asl_dataset,baseline_gcn,2024,27,Z,37,48,5,11
asl_dataset,baseline_gcn,2025,0,0,20,48,3,6
asl_dataset,baseline_gcn,2025,1,1,41,48,6,12
asl_dataset,baseline_gcn,2025,2,2,34,48,5,9
asl_dataset,baseline_gcn,2025,3,3,47,48,6,14
asl_dataset,baseline_gcn,2025,4,4,48,48,7,13
asl_dataset,baseline_gcn,2025,5,5,48,48,7,14
asl_dataset,baseline_gcn,2025,6,6,35,48,5,10
asl_dataset,baseline_gcn,2025,7,7,45,48,6,13
asl_dataset,baseline_gcn,2025,8,8,42,48,6,12
asl_dataset,baseline_gcn,2025,9,9,48,48,7,14
asl_dataset,baseline_gcn,2025,10,B,45,48,6,13
asl_dataset,baseline_gcn,2025,11,C,23,48,3,7
asl_dataset,baseline_gcn,2025,12,D,45,48,7,13
asl_dataset,baseline_gcn,2025,13,E,15,48,2,5
asl_dataset,baseline_gcn,2025,14,F,47,48,7,13
asl_dataset,baseline_gcn,2025,15,G,36,48,5,11
asl_dataset,baseline_gcn,2025,16,H,32,48,5,9
asl_dataset,baseline_gcn,2025,17,I,37,48,5,11
asl_dataset,baseline_gcn,2025,18,K,46,48,7,13
asl_dataset,baseline_gcn,2025,19,L,47,48,7,13
asl_dataset,baseline_gcn,2025,20,P,34,48,5,9
asl_dataset,baseline_gcn,2025,21,R,36,48,5,10
asl_dataset,baseline_gcn,2025,22,U,44,48,6,13
asl_dataset,baseline_gcn,2025,23,V,36,48,5,10
asl_dataset,baseline_gcn,2025,24,W,34,48,5,9
asl_dataset,baseline_gcn,2025,25,X,32,48,5,9
asl_dataset,baseline_gcn,2025,26,Y,25,48,3,7
asl_dataset,baseline_gcn,2025,27,Z,37,48,5,11
asl_dataset,baseline_gcn,3407,0,0,20,48,3,6
asl_dataset,baseline_gcn,3407,1,1,41,48,6,12
asl_dataset,baseline_gcn,3407,2,2,34,48,5,9
asl_dataset,baseline_gcn,3407,3,3,47,48,7,13
asl_dataset,baseline_gcn,3407,4,4,48,48,7,13
asl_dataset,baseline_gcn,3407,5,5,48,48,7,14
asl_dataset,baseline_gcn,3407,6,6,35,48,5,10
asl_dataset,baseline_gcn,3407,7,7,45,48,6,13
asl_dataset,baseline_gcn,3407,8,8,42,48,6,12
asl_dataset,baseline_gcn,3407,9,9,48,48,7,14
asl_dataset,baseline_gcn,3407,10,B,45,48,6,13
asl_dataset,baseline_gcn,3407,11,C,23,48,3,7
asl_dataset,baseline_gcn,3407,12,D,45,48,7,13
asl_dataset,baseline_gcn,3407,13,E,15,48,2,5
asl_dataset,baseline_gcn,3407,14,F,47,48,7,13
asl_dataset,baseline_gcn,3407,15,G,36,48,5,11
asl_dataset,baseline_gcn,3407,16,H,32,48,5,9
asl_dataset,baseline_gcn,3407,17,I,37,48,5,11
asl_dataset,baseline_gcn,3407,18,K,46,48,6,14
asl_dataset,baseline_gcn,3407,19,L,47,48,7,13
asl_dataset,baseline_gcn,3407,20,P,34,48,5,9
asl_dataset,baseline_gcn,3407,21,R,36,48,5,10
asl_dataset,baseline_gcn,3407,22,U,44,48,6,13
asl_dataset,baseline_gcn,3407,23,V,36,48,5,10
asl_dataset,baseline_gcn,3407,24,W,34,48,5,9
asl_dataset,baseline_gcn,3407,25,X,32,48,5,9
asl_dataset,baseline_gcn,3407,26,Y,25,48,3,7
asl_dataset,baseline_gcn,3407,27,Z,37,48,5,11
asl_dataset,baseline_gcn,42,0,0,20,48,3,6
asl_dataset,baseline_gcn,42,1,1,41,48,6,12
asl_dataset,baseline_gcn,42,2,2,34,48,5,9
asl_dataset,baseline_gcn,42,3,3,47,48,7,13
asl_dataset,baseline_gcn,42,4,4,48,48,6,14
asl_dataset,baseline_gcn,42,5,5,48,48,7,14
asl_dataset,baseline_gcn,42,6,6,35,48,5,10
asl_dataset,baseline_gcn,42,7,7,45,48,6,13
asl_dataset,baseline_gcn,42,8,8,42,48,6,12
asl_dataset,baseline_gcn,42,9,9,48,48,7,14
asl_dataset,baseline_gcn,42,10,B,45,48,6,13
asl_dataset,baseline_gcn,42,11,C,23,48,3,7
asl_dataset,baseline_gcn,42,12,D,45,48,7,13
asl_dataset,baseline_gcn,42,13,E,15,48,2,5
asl_dataset,baseline_gcn,42,14,F,47,48,7,13
asl_dataset,baseline_gcn,42,15,G,36,48,5,11
asl_dataset,baseline_gcn,42,16,H,32,48,5,9
asl_dataset,baseline_gcn,42,17,I,37,48,5,11
asl_dataset,baseline_gcn,42,18,K,46,48,7,13
asl_dataset,baseline_gcn,42,19,L,47,48,7,13
asl_dataset,baseline_gcn,42,20,P,34,48,5,9
asl_dataset,baseline_gcn,42,21,R,36,48,5,10
asl_dataset,baseline_gcn,42,22,U,44,48,6,13
asl_dataset,baseline_gcn,42,23,V,36,48,5,10
asl_dataset,baseline_gcn,42,24,W,34,48,5,9
asl_dataset,baseline_gcn,42,25,X,32,48,5,9
asl_dataset,baseline_gcn,42,26,Y,25,48,3,7
asl_dataset,baseline_gcn,42,27,Z,37,48,5,11
asl_dataset,baseline_mlp,1234,0,0,20,48,3,6
asl_dataset,baseline_mlp,1234,1,1,41,48,6,12
asl_dataset,baseline_mlp,1234,2,2,34,48,5,9
asl_dataset,baseline_mlp,1234,3,3,47,48,7,13
asl_dataset,baseline_mlp,1234,4,4,48,48,6,14
asl_dataset,baseline_mlp,1234,5,5,48,48,7,14
asl_dataset,baseline_mlp,1234,6,6,35,48,5,10
asl_dataset,baseline_mlp,1234,7,7,45,48,6,13
asl_dataset,baseline_mlp,1234,8,8,42,48,6,12
asl_dataset,baseline_mlp,1234,9,9,48,48,7,14
asl_dataset,baseline_mlp,1234,10,B,45,48,6,13
asl_dataset,baseline_mlp,1234,11,C,23,48,3,7
asl_dataset,baseline_mlp,1234,12,D,45,48,7,13
asl_dataset,baseline_mlp,1234,13,E,15,48,2,5
asl_dataset,baseline_mlp,1234,14,F,47,48,7,13
asl_dataset,baseline_mlp,1234,15,G,36,48,5,11
asl_dataset,baseline_mlp,1234,16,H,32,48,5,9
asl_dataset,baseline_mlp,1234,17,I,37,48,5,11
asl_dataset,baseline_mlp,1234,18,K,46,48,7,13
asl_dataset,baseline_mlp,1234,19,L,47,48,7,13
asl_dataset,baseline_mlp,1234,20,P,34,48,5,9
asl_dataset,baseline_mlp,1234,21,R,36,48,5,10
asl_dataset,baseline_mlp,1234,22,U,44,48,6,13
asl_dataset,baseline_mlp,1234,23,V,36,48,5,10
asl_dataset,baseline_mlp,1234,24,W,34,48,5,9
asl_dataset,baseline_mlp,1234,25,X,32,48,5,9
asl_dataset,baseline_mlp,1234,26,Y,25,48,3,7
asl_dataset,baseline_mlp,1234,27,Z,37,48,5,11
asl_dataset,baseline_mlp,2024,0,0,20,48,3,6
